1,две,два,NUM,_,Case=Nom|Gender=Fem,_,_,_,@yad1986m-words#@yad1986m#2311.34#2311.586
2,тысячи,тысяча,NUM,_,Case=Gen|Gender=Fem|Number=Sing,_,_,_,@yad1986m-words#@yad1986m#2311.586#2311.832
3,тринадцатый,тринадцатый,NUM,_,Case=Nom|Gender=Masc|Number=Sing,_,_,_,@yad1986m-words#@yad1986m#2311.832#2312.078
4,год,год,NOUN,_,Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing,_,_,_,@yad1986m-words#@yad1986m#2312.078#2312.324
5,/,/,PUNCT,_,_,_,_,_,@yad1986m-words#@yad1986m#2312.324#2312.57
6,мм,ммм,INTJ,_,_,_,_,_,@yad1986m-words#@yad1986m#2312.57#2312.816
7,#цокает#,#цокает#,X,_,_,_,_,_,@yad1986m-words#@yad1986m#2312.816#2313.062
8,/,/,PUNCT,_,_,_,_,_,@yad1986m-words#@yad1986m#2313.062#2313.308
9,вы,вы,PRON,_,Case=Nom|Number=Plur|Person=2,_,_,_,@yad1986m-words#@yad1986m#2313.308#2313.554
10,сняли,снять,VERB,_,Aspect=Perf|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Act,_,_,_,@yad1986m-words#@yad1986m#2313.554#2313.8
11,фильм,фильм,NOUN,_,Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing,_,_,_,@yad1986m-words#@yad1986m#2313.8#2314.046
12,/,/,PUNCT,_,_,_,_,_,@yad1986m-words#@yad1986m#2314.046#2314.292
13,ээ,эээ,INTJ,_,_,_,_,_,@yad1986m-words#@yad1986m#2314.292#2314.538
14,/,/,PUNCT,_,_,_,_,_,@yad1986m-words#@yad1986m#2314.538#2314.784
15,про,про,ADP,_,_,_,_,_,@yad1986m-words#@yad1986m#2314.784#2315.03
16,Германию,Германия,PROPN,_,Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing,_,_,_,@yad1986m-words#@yad1986m#2315.03#2315.29
17,вместе,вместе,ADV,_,_,_,_,_,@yad1986m-words#@yad1986m#2315.31#2315.525
18,с,с,ADP,_,_,_,_,_,@yad1986m-words#@yad1986m#2315.525#2315.74
19,Иваном,Иван,PROPN,_,Animacy=Anim|Case=Ins|Gender=Masc|Number=Sing,_,_,_,@yad1986m-words#@yad1986m#2315.74#2316.07
20,ээ,эээ,INTJ,_,_,_,_,_,@yad1986m-words#@yad1986m#2316.07#2316.4
21,вместе,вместе,ADV,_,_,_,_,_,@yad1986m-words#@yad1986m#2316.44#2316.73
22,с,с,ADP,_,_,_,_,_,@yad1986m-words#@yad1986m#2316.73#2317.02
23,Иваном,Иван,PROPN,_,Animacy=Anim|Case=Ins|Gender=Masc|Number=Sing,_,_,_,@yad1986m-words#@yad1986m#2317.02#2317.31
24,Ургантом,Ургант,PROPN,_,Animacy=Anim|Case=Ins|Gender=Masc|Number=Sing,_,_,_,@yad1986m-words#@yad1986m#2317.31#2317.6
25,согласны,согласный,ADJ,_,Degree=Pos|Number=Plur|Variant=Short,_,_,_,@yad1986m-words#@yad1986m#2318.33#2318.603
26,ли,ли,PART,_,_,_,_,_,@yad1986m-words#@yad1986m#2318.603#2318.876
27,вы,вы,PRON,_,Case=Nom|Number=Plur|Person=2,_,_,_,@yad1986m-words#@yad1986m#2318.876#2319.149
28,с,с,ADP,_,_,_,_,_,@yad1986m-words#@yad1986m#2319.149#2319.422
29,тем,то,PRON,_,Case=Ins|Gender=Neut|Number=Sing,_,_,_,@yad1986m-words#@yad1986m#2319.422#2319.695
30,/,/,PUNCT,_,_,_,_,_,@yad1986m-words#@yad1986m#2319.695#2319.968
31,что,что,SCONJ,_,_,_,_,_,@yad1986m-words#@yad1986m#2319.968#2320.241
32,/,/,PUNCT,_,_,_,_,_,@yad1986m-words#@yad1986m#2320.241#2320.514
33,ваша,ваш,DET,_,Case=Nom|Gender=Fem|Number=Sing,_,_,_,@yad1986m-words#@yad1986m#2320.514#2320.787
34,работа,работа,NOUN,_,Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing,_,_,_,@yad1986m-words#@yad1986m#2320.787#2321.06
35,там,там,ADV,_,_,_,_,_,@yad1986m-words#@yad1986m#2321.06#2321.333
36,как,как,SCONJ,_,_,_,_,_,@yad1986m-words#@yad1986m#2321.333#2321.606
37,ведущего,ведущий,VERB,_,Aspect=Imp|Case=Gen|Gender=Masc|Number=Sing|Tense=Pres|VerbForm=Part|Voice=Act,_,_,_,@yad1986m-words#@yad1986m#2321.606#2321.89
38,это,это,PART,_,_,_,_,_,@yad1986m-words#@yad1986m#2322.55#2322.803
39,провал,провал,NOUN,_,Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing,_,_,_,@yad1986m-words#@yad1986m#2322.803#2323.056
40,?,?,PUNCT,_,_,_,_,_,@yad1986m-words#@yad1986m#2323.056#2323.31
41,тогда,тогда,ADV,_,_,_,_,_,@yad1986m-words#@yad1986m#2327.74#2328.03
42,давайте,давать,VERB,_,Aspect=Imp|Mood=Imp|Number=Plur|Person=2|VerbForm=Fin|Voice=Act,_,_,_,@yad1986m-words#@yad1986m#2328.03#2328.32
43,я,я,PRON,_,Case=Nom|Number=Sing|Person=1,_,_,_,@yad1986m-words#@yad1986m#2328.32#2328.61
44,объясню,объяснить,VERB,_,Aspect=Perf|Mood=Ind|Number=Sing|Person=1|Tense=Fut|VerbForm=Fin|Voice=Act,_,_,_,@yad1986m-words#@yad1986m#2328.61#2328.9
45,смотрите,смотреть,VERB,_,Aspect=Imp|Mood=Imp|Number=Plur|Person=2|VerbForm=Fin|Voice=Act,_,_,_,@yad1986m-words#@yad1986m#2330.0#2330.336
46,/,/,PUNCT,_,_,_,_,_,@yad1986m-words#@yad1986m#2330.336#2330.672
47,я,я,PRON,_,Case=Nom|Number=Sing|Person=1,_,_,_,@yad1986m-words#@yad1986m#2330.672#2331.008
48,привык,привыкнуть,VERB,_,Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act,_,_,_,@yad1986m-words#@yad1986m#2331.008#2331.344
49,к,к,ADP,_,_,_,_,_,@yad1986m-words#@yad1986m#2331.344#2331.68
