Id,Form,Lemma,UPosTag,XPosTag,Feats,Head,DepRel,Deps,Misc
1,логотип,логотип,NOUN,_,Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing,_,_,_,words-ish#@ish1984f#0.142#0.511
2,за,за,ADP,_,_,_,_,_,words-ish#@ish1984f#0.511#0.88
3,сто,сто,NUM,_,Case=Acc,_,_,_,words-ish#@ish1984f#0.88#1.249
4,тысяч,тысяча,NUM,_,Case=Gen|Gender=Fem|Number=Plur,_,_,_,words-ish#@ish1984f#1.249#1.619
5,вот,вот,PART,_,_,_,_,_,words-ish#@ish1984f#1.857#2.2
6,скажи,сказать,VERB,_,Aspect=Perf|Mood=Imp|Number=Sing|Person=2|VerbForm=Fin|Voice=Act,_,_,_,words-ish#@ish1984f#2.2#2.543
7,мне,я,PRON,_,Case=Dat|Number=Sing|Person=1,_,_,_,words-ish#@ish1984f#2.543#2.886
8,/,/,PUNCT,_,_,_,_,_,words-ish#@ish1984f#2.886#3.229
9,это,это,"PART
",_,_,_,_,_,words-ish#@ish1984f#3.229#3.572
10,классный,классный,ADJ,_,Case=Nom|Degree=Pos|Gender=Masc|Number=Sing,_,_,_,words-ish#@ish1984f#3.572#3.915
11,/,/,PUNCT,_,_,_,_,_,words-ish#@ish1984f#3.915#4.258
12,прям,"прям
","PART
",_,_,_,_,_,words-ish#@ish1984f#4.258#4.601
13,/,/,PUNCT,_,_,_,_,_,words-ish#@ish1984f#4.601#4.944
14,троллинг,троллинг,NOUN,_,Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing,_,_,_,words-ish#@ish1984f#4.944#5.287
15,/,/,PUNCT,_,_,_,_,_,words-ish#@ish1984f#5.287#5.63
16,очень,очень,ADV,_,_,_,_,_,words-ish#@ish1984f#5.63#5.973
17,успешного,успешный,ADJ,_,Case=Gen|Degree=Pos|Gender=Masc|Number=Sing,_,_,_,words-ish#@ish1984f#5.973#6.316
18,дизайнера,дизайнер,NOUN,_,Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing,_,_,_,words-ish#@ish1984f#6.316#6.659
19,над,над,ADP,_,_,_,_,_,words-ish#@ish1984f#6.659#7.002
20,остальными,остальной,DET,_,Case=Ins|Degree=Pos|Number=Plur,_,_,_,words-ish#@ish1984f#7.002#7.345
21,людьми,человек,NOUN,_,Animacy=Anim|Case=Ins|Gender=Masc|Number=Plur,_,_,_,words-ish#@ish1984f#7.345#7.688
22,/,/,PUNCT,_,_,_,_,_,words-ish#@ish1984f#7.688#8.031
23,да,да,INTJ,_,_,_,_,_,words-ish#@ish1984f#8.031#8.38
24,это,этот,PART,_,_,_,_,_,words-ish#@ish1984f#39.47#39.766
25,время,время,NOUN,_,Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing,_,_,_,words-ish#@ish1984f#39.766#40.063
26,у,у,ADP,_,_,_,_,_,words-ish#@ish1984f#75.0#75.432
27,тебя,ты,PRON,_,Case=Gen|Number=Sing|Person=2,_,_,_,words-ish#@ish1984f#75.432#75.864
28,же,же,PART,_,_,_,_,_,words-ish#@ish1984f#75.864#76.296
29,есть,быть,VERB,_,Aspect=Imp|Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,_,_,_,words-ish#@ish1984f#76.296#76.728
30,принципы,принцип,NOUN,_,Animacy=Inan|Case=Nom|Gender=Masc|Number=Plur,_,_,_,words-ish#@ish1984f#76.728#77.16
31,хорошего,хороший,ADJ,_,Case=Gen|Degree=Pos|Gender=Masc|Number=Sing,_,_,_,words-ish#@ish1984f#77.16#77.592
32,логотипа,логотип,NOUN,_,Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing,_,_,_,words-ish#@ish1984f#77.592#78.024
33,какие,какой,DET,_,Case=Nom|Number=Plur,_,_,_,words-ish#@ish1984f#78.853#79.448
34,они,они,PRON,_,Case=Nom|Number=Plur|Person=3,_,_,_,words-ish#@ish1984f#79.448#80.043
35,а,а,CCONJ,_,_,_,_,_,words-ish#@ish1984f#84.121#84.469
36,вот,вот,PART,_,_,_,_,_,words-ish#@ish1984f#84.469#84.817
37,это,это,PART,_,_,_,_,_,words-ish#@ish1984f#84.817#85.165
38,хорошо,хорошо,ADV,_,Degree=Pos,_,_,_,words-ish#@ish1984f#85.165#85.513
39,запоминается,запоминаться,VERB,_,Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Mid,_,_,_,words-ish#@ish1984f#85.513#85.861
40,легко,легко,ADV,_,Degree=Pos,_,_,_,words-ish#@ish1984f#85.861#86.209
41,рисуется,рисоваться,VERB,_,Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Mid,_,_,_,words-ish#@ish1984f#86.209#86.56
42,нет,нет,INTJ,_,_,_,_,_,words-ish#@ish1984f#88.878#89.043
43,нет,нет,INTJ,_,_,_,_,_,words-ish#@ish1984f#89.043#89.208
44,нет,нет,INTJ,_,_,_,_,_,words-ish#@ish1984f#89.208#89.373
45,/,/,PUNCT,_,_,_,_,_,words-ish#@ish1984f#89.373#89.538
46,я,я,PRON,_,Case=Nom|Number=Sing|Person=1,_,_,_,words-ish#@ish1984f#89.538#89.703
47,не,не,PART,_,_,_,_,_,words-ish#@ish1984f#89.703#89.868
48,про,про,ADP,_,_,_,_,_,words-ish#@ish1984f#89.868#90.033
49,то,то,PRON,_,Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing,_,_,_,words-ish#@ish1984f#90.033#90.198
50,что,что,SCONJ,_,_,_,_,_,words-ish#@ish1984f#90.198#90.365
51,ну,ну,PART,_,_,_,_,_,words-ish#@ish1984f#99.439#99.682
52,я,я,PRON,_,Case=Nom|Number=Sing|Person=1,_,_,_,words-ish#@ish1984f#99.682#99.925
53,/,/,PUNCT,_,_,_,_,_,words-ish#@ish1984f#99.925#100.168
54,более,больший,ADV,_,Degree=Cmp,_,_,_,words-ish#@ish1984f#100.168#100.411
